,bp,b2what,indus,cat_abs,bin_rel,bin_abs
0,"When asked to evaluate this brand's personality, consumers thought the following traits described this brand particularly well: up-to-date, contemporary, leader, intelligent, exciting. 
On the other hand, consumers thought these traits did not describe this brand: small-town, rugged, masculine, outdoorsy, tough",The company offers its products and services primarily to other businesses.,"The company operates in these industries: Media and Entertainment, Internet Services","This brand's logo has the following features: 
 - Dominant color: Black
 - Overall shape: Narrow Rectangle/Oval
 - High-level description of the shape and form of the mark (if present): Dense and circular
 - Type of font: Sans-serif font (e.g., Arial, Helvetica)
 - Number of colors: Two colors","Relative to other brands, some unique features that this brand's logo has include: 
 - Has the color: Dark Grey
 - Font width: Ordinary
 - Accent color: Light Blue
 - Font slant: None (non-italics)
 - Accent color: Dark Grey","A few other features this logo has include: 
 - Font width: Ordinary
 - Font slant: None (non-italics)
 - Mark: Has a mark
 - Font weight: Bold
 - Has the color: Black"
1,"When asked to evaluate this brand's personality, consumers thought the following traits described this brand particularly well: western, masculine, family-oriented, upper-class, rugged. 
On the other hand, consumers thought these traits did not describe this brand: up-to-date, imaginative, contemporary, unique, technical",The company offers its products and services primarily to other businesses.,"The company operates in these industries: Consumer Goods, Sports","This brand's logo has the following features: 
 - Dominant color: Black
 - Overall shape: Narrow Rectangle/Oval
 - High-level description of the shape and form of the mark (if present): Dense, simple, geometric shape
 - Type of font: Sans-serif font (e.g., Arial, Helvetica)
 - Number of colors: Two colors","Relative to other brands, some unique features that this brand's logo has include: 
 - Color lightness: High variation
 - Color lightness: Low (i.e., dark colors)
 - Color saturation: Grayscale
 - Has the color: Black
 - Design: Low percentage of whitespace","A few other features this logo has include: 
 - Mark: Has a mark
 - Has the color: Black
 - Color lightness: High variation
 - Color lightness: Low (i.e., dark colors)
 - Font slant: None (non-italics)"
2,"When asked to evaluate this brand's personality, consumers thought the following traits described this brand particularly well: hard-working, tough, reliable, real, honest. 
On the other hand, consumers thought these traits did not describe this brand: upper-class, young, trendy, feminine, exciting",The company offers its products and services primarily to consumers.,"The company operates in these industries: Manufacturing, Transportation","This brand's logo has the following features: 
 - Dominant color: Black
 - Overall shape: Narrow Rectangle/Oval
 - High-level description of the shape and form of the mark (if present): No mark
 - Type of font: Sans-serif font (e.g., Arial, Helvetica)
 - Number of colors: Three colors","Relative to other brands, some unique features that this brand's logo has include: 
 - Color lightness: High variation
 - Mark position: toward the left of the logo
 - Mark position: to the left of the brand name
 - Has the color: Black
 - Accent color: Black","A few other features this logo has include: 
 - Mark: Has a mark
 - Font weight: Bold
 - Font slant: None (non-italics)
 - Has the color: Black
 - Font width: Ordinary"
3,"When asked to evaluate this brand's personality, consumers thought the following traits described this brand particularly well: upper-class, intelligent, sentimental, daring, hard-working. 
On the other hand, consumers thought these traits did not describe this brand: young, trendy, cool, honest, feminine",The company offers its products and services to both consumers and to other businesses.,"The company operates in these industries: Health Care, Financial Services","This brand's logo has the following features: 
 - Dominant color: Black
 - Overall shape: Narrow Rectangle/Oval
 - High-level description of the shape and form of the mark (if present): Thin design
 - Type of font: Sans-serif font (e.g., Arial, Helvetica)
 - Number of colors: More than three colors","Relative to other brands, some unique features that this brand's logo has include: 
 - Color saturation: Low
 - Color saturation: Low variation
 - Has the color: Light Grey
 - Accent color: Light Grey
 - Design: High GPC (i.e., very complex)","A few other features this logo has include: 
 - Mark: Has a mark
 - Color saturation: Low
 - Color saturation: Low variation
 - Has the color: Light Grey
 - Font slant: None (non-italics)"
4,"When asked to evaluate this brand's personality, consumers thought the following traits described this brand particularly well: real, down-to-earth, sincere, wholesome, honest. 
On the other hand, consumers thought these traits did not describe this brand: corporate, upper-class, glamorous, technical, young",The company offers its products and services to both consumers and to other businesses.,"The company operates in these industries: Manufacturing, Community and Lifestyle","This brand's logo has the following features: 
 - Dominant color: Red
 - Overall shape: Wide Rectangle/Oval
 - High-level description of the shape and form of the mark (if present): Horizontal and wispy
 - Type of font: Sans-serif font (e.g., Arial, Helvetica)
 - Number of colors: One color","Relative to other brands, some unique features that this brand's logo has include: 
 - Color lightness: High (i.e., bright colors)
 - Color lightness: Low variation
 - Edges: Many upward diagonal edges
 - Design: No characters (just a mark)
 - Design: Few distinct regions","A few other features this logo has include: 
 - Mark: Has a mark
 - Color lightness: High (i.e., bright colors)
 - Color lightness: Low variation
 - Font width: Ordinary
 - Edges: Many upward diagonal edges"
5,"When asked to evaluate this brand's personality, consumers thought the following traits described this brand particularly well: corporate, tough, rugged, masculine, outdoorsy. 
On the other hand, consumers thought these traits did not describe this brand: young, cheerful, good-looking, charming, glamorous",The company offers its products and services primarily to consumers.,"The company operates in these industries: Energy, Manufacturing","This brand's logo has the following features: 
 - Dominant color: Light Blue
 - Overall shape: Wide Rectangle/Oval
 - High-level description of the shape and form of the mark (if present): Simple design
 - Type of font: Sans-serif font (e.g., Arial, Helvetica)
 - Number of colors: One color","Relative to other brands, some unique features that this brand's logo has include: 
 - Color lightness: Low variation
 - Color saturation: High
 - Color saturation: High variation
 - Design: Few corners
 - Design: Few distinct regions","A few other features this logo has include: 
 - Color lightness: Low variation
 - Mark: Has a mark
 - Font slant: None (non-italics)
 - Font weight: Bold
 - Color saturation: High"
6,"When asked to evaluate this brand's personality, consumers thought the following traits described this brand particularly well: imaginative, unique, up-to-date, cool, daring. 
On the other hand, consumers thought these traits did not describe this brand: small-town, rugged, outdoorsy, western, tough",The company offers its products and services to both consumers and to other businesses.,"The company operates in these industries: Consumer Electronics, Software","This brand's logo has the following features: 
 - Dominant color: Light Blue
 - Overall shape: Circle
 - High-level description of the shape and form of the mark (if present): Dense and circular
 - Type of font: Sans-serif font (e.g., Arial, Helvetica)
 - Number of colors: One color","Relative to other brands, some unique features that this brand's logo has include: 
 - Color lightness: Low variation
 - Color lightness: High (i.e., bright colors)
 - Font class: Humanist
 - Edges: Many downward diagonal edges
 - Has the color: Light Blue","A few other features this logo has include: 
 - Font slant: None (non-italics)
 - Font width: Ordinary
 - Mark: Has a mark
 - Color lightness: Low variation
 - Color lightness: High (i.e., bright colors)"
7,"When asked to evaluate this brand's personality, consumers thought the following traits described this brand particularly well: technical, imaginative, contemporary, exciting, cool. 
On the other hand, consumers thought these traits did not describe this brand: upper-class, successful, corporate, confident, leader",The company offers its products and services primarily to other businesses.,"The company operates in these industries: Transportation, Consumer Electronics","This brand's logo has the following features: 
 - Dominant color: Black
 - Overall shape: Narrow Rectangle/Oval
 - High-level description of the shape and form of the mark (if present): Thin design
 - Type of font: Sans-serif font (e.g., Arial, Helvetica)
 - Number of colors: Three colors","Relative to other brands, some unique features that this brand's logo has include: 
 - Has the color: Light Grey
 - Accent color: Light Grey
 - Has the color: Black
 - Mark: Has a mark
 - Edges: Many upward diagonal edges","A few other features this logo has include: 
 - Mark: Has a mark
 - Has the color: Light Grey
 - Accent color: Light Grey
 - Has the color: Black
 - Font weight: Bold"
8,"When asked to evaluate this brand's personality, consumers thought the following traits described this brand particularly well: sentimental, outdoorsy, rugged, western, charming. 
On the other hand, consumers thought these traits did not describe this brand: corporate, intelligent, technical, up-to-date, secure",The company offers its products and services primarily to other businesses.,"The company operates in these industries: Transportation, Manufacturing","This brand's logo has the following features: 
 - Dominant color: Black
 - Overall shape: Triangle
 - High-level description of the shape and form of the mark (if present): Detailed and circular
 - Type of font: Sans-serif font (e.g., Arial, Helvetica)
 - Number of colors: More than three colors","Relative to other brands, some unique features that this brand's logo has include: 
 - Has the color: Black
 - Has the color: Light Grey
 - Accent color: Light Grey
 - Symmetry: High horizontal symmetry
 - Symmetry: Low vertical symmetry","A few other features this logo has include: 
 - Mark: Has a mark
 - Has the color: Black
 - Font weight: Bold
 - Font slant: None (non-italics)
 - Has the color: Light Grey"
9,"When asked to evaluate this brand's personality, consumers thought the following traits described this brand particularly well: upper-class, glamorous, good-looking, feminine, smooth. 
On the other hand, consumers thought these traits did not describe this brand: outdoorsy, family-oriented, down-to-earth, friendly, hard-working",The company offers its products and services primarily to other businesses.,"The company operates in these industries: Consumer Goods, Health Care","This brand's logo has the following features: 
 - Dominant color: Dark Blue
 - Overall shape: Narrow Rectangle/Oval
 - High-level description of the shape and form of the mark (if present): Detailed with a horizontal orientation
 - Type of font: Sans-serif font (e.g., Arial, Helvetica)
 - Number of colors: One color","Relative to other brands, some unique features that this brand's logo has include: 
 - Edges: Few upward diagonal edges
 - Edges: Few downward diagonal edges
 - Design: Few distinct regions
 - Design: Low percentage of whitespace
 - Edges: Many horizontal edges","A few other features this logo has include: 
 - Font slant: None (non-italics)
 - Mark: Has a mark
 - Font weight: Bold
 - Font width: Ordinary
 - Edges: Few upward diagonal edges"
